,BEG MP,END MP,LENGTH (FT),GRADE_TO_NEXT,SPEED,Curvature (degrees),LENGTH (M)
0,0.0,0.6,3168.0,0.0,17.8816,0.0,965.6039999999999
1,0.6,1.029147727,2265.8999985600003,0.5,17.8816,0.0,690.64460297018
2,1.029147727,1.03,4.5000014400000765,0.5,17.8816,-5.0,1.3715970298200233
3,1.03,1.10742803,408.8199983999993,0.0,17.8816,-5.0,124.60802580019978
4,1.10742803,1.30430303,1039.5000000000007,0.0,17.8816,0.0,316.8388125000002
5,1.30430303,1.467854167,863.5500033600001,0.0,17.8816,-3.0,263.20938681958
6,1.467854167,1.767189394,1580.4899985600002,0.0,17.8816,0.0,481.73215422018
7,1.767189394,1.89,648.4399996799991,0.0,17.8816,-2.0,197.6440206600397
8,1.89,2.017221591,671.7300004800015,0.9,17.8816,-2.0,204.74279525994046
9,2.017221591,2.460789773,2342.04000096,0.9,17.8816,0.0,713.8520180198799
10,2.460789773,2.671793561,1114.1000006399986,0.9,17.8816,-2.5,339.57683617991955
11,2.671793561,2.91,1257.7299979200013,0.9,17.8816,0.0,383.3551505402604
12,2.91,2.950698864,214.8900019199994,-0.4,17.8816,0.0,65.49830978975982
13,2.950698864,3.5578125,3205.559998079999,-0.4,17.8816,3.0,977.0522589602396
14,3.5578125,4.07,2704.3500000000026,-0.4,17.8816,0.0,824.2838312500007
15,4.07,4.116689394,246.52000031999734,0.5,17.8816,0.0,75.13910933995919
16,4.116689394,4.149537879,173.44000080000313,0.5,17.8816,-1.0,52.864380849900954
17,4.149537879,4.52,1956.039998879996,0.5,17.8816,0.0,596.1995098101387
18,4.52,5.46,4963.200000000002,-1.0,17.8816,0.0,1512.7796000000005
19,5.46,6.052583333,3128.8399982400015,1.0,17.8816,0.0,953.6680611302205
20,6.052583333,6.41,1887.1600017599992,1.0,17.8816,-1.25,575.2049388697798
21,6.41,6.922181818,2704.3199990400008,0.4,17.8816,-1.25,824.2746869801202
22,6.922181818,7.35,2258.8800009599963,0.4,17.8816,0.0,688.5049130198789
23,7.35,7.394842803,236.76999984000403,-0.4,17.8816,0.0,72.16731658002122
24,7.394842803,7.854299242,2425.9299979199964,-0.4,17.8816,-1.0,739.4216255402589
25,7.854299242,8.04,980.5000022399969,-0.4,17.8816,0.0,298.85565787971905
26,8.04,8.230962121,1008.2799988800004,0.7,17.8816,0.0,307.3229798101401
27,8.230962121,8.328429924,514.6299998400036,0.7,17.8816,-1.0,156.8588340800211
28,8.328429924,8.34,61.090001279999626,0.7,17.8816,0.0,18.620186109839885
29,8.34,9.009498106,3534.9499996800037,0.0,17.8816,0.0,1077.450081910041
30,9.009498106,9.056278409,246.9999998400013,0.0,17.8816,-2.0,75.28541283002039
31,9.056278409,9.16,547.6500004799965,0.0,17.8816,0.0,166.92330525993893
32,9.16,9.43,1425.5999999999976,0.6,17.8816,0.0,434.5217999999993
33,9.43,9.58,792.0000000000018,0.0,17.8816,0.0,241.40100000000055
34,9.58,9.725028409,765.7499995200001,-0.39,17.8816,0.0,233.40001974006003
35,9.725028409,10.63374053,4797.999998880004,-0.39,17.8816,-1.0,1462.4267648101409
36,10.63374053,11.76374053,5966.399999999995,-0.39,17.8816,0.0,1818.5541999999982
37,11.76374053,12.03722538,1444.0000080000048,-0.39,17.8816,-3.0,440.13010849900144
38,12.03722538,13.09,5558.6499935999955,-0.39,17.8816,0.0,1694.2723069507986
39,13.09,13.25655303,879.3999983999964,0.0,17.8816,0.0,268.0404533001989
40,13.25655303,13.26,18.20000160000319,0.0,17.8816,0.0,5.547346699800972
