,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,477.0,0.476,0.56,20.0,0.0,R,4.5,135.18456000000012,0.0
1,477.0,0.56,0.677,20.0,0.0,L,4.5,188.29278,0.0
2,477.0,0.677,0.833,20.0,0.0,R,4.66,251.05703999999983,0.0
3,477.0,0.833,1.35,20.0,0.0,L,4.5,832.0287800000002,0.0
4,477.0,1.35,1.445,20.0,0.09,L,4.5,152.88729999999995,0.1375985699999999
5,477.0,1.445,1.62,20.0,0.09,0.0,0.0,281.63450000000006,0.39106962
6,477.0,1.62,1.641,20.0,0.59,R,4.66,33.79613999999985,0.5904668459999991
7,477.0,1.641,1.78,20.0,0.59,0.0,0.0,223.69826,1.910286579999999
8,477.0,1.78,1.835,20.0,0.27,R,5.16,88.5136999999999,2.1492735699999987
9,477.0,1.835,1.88,20.0,0.27,0.0,0.0,72.42029999999988,2.3448083799999986
10,477.0,1.88,1.97,20.0,0.53,0.0,0.0,144.8406000000001,3.1124635599999992
11,477.0,1.97,2.33,20.0,0.42,0.0,0.0,579.3624000000001,5.54578564
12,477.0,2.33,2.37,20.0,0.45,0.0,0.0,64.37360000000005,5.8354668400000005
13,477.0,2.37,2.68,20.0,-0.34,0.0,0.0,498.89540000000005,4.13922248
14,477.0,2.68,3.009,20.0,0.65,L,2.0,529.4728599999995,7.580796069999996
15,477.0,3.009,3.1,20.0,0.65,0.0,0.0,146.4499400000003,8.532720679999999
16,477.0,3.1,3.22,20.0,0.18,0.0,0.0,193.12080000000017,8.88033812
17,477.0,3.22,3.37,20.0,0.85,0.0,0.0,241.40099999999984,10.932246619999995
18,477.0,3.37,3.48,20.0,0.79,0.0,0.0,177.0273999999998,12.330763079999995
19,477.0,3.468,3.5,20.0,1.28,0.0,0.0,51.49888000000004,12.989948743999996
20,477.0,3.5,3.72,20.0,0.6,0.0,0.0,354.0548000000003,15.114277543999997
21,477.0,3.643,3.72,20.0,0.0,R,1.66,123.91918000000064,15.114277543999997
22,477.0,3.72,3.768,20.0,0.29,R,1.66,77.24831999999935,15.338297671999994
23,477.0,3.768,3.88,20.0,0.29,0.0,0.0,180.24608000000012,15.861011303999994
24,477.0,3.861,3.91,20.0,0.0,0.0,0.0,78.85765999999988,15.861011303999994
25,477.0,3.91,4.0,20.0,0.89,0.0,0.0,144.84059999999977,17.150092643999994
26,477.0,4.0,4.15,20.0,-0.28,0.0,0.0,241.40100000000052,16.47416984399999
27,477.0,4.15,4.28,20.0,-0.48,0.0,0.0,209.2141999999998,15.469941683999991
28,477.0,4.28,4.55,20.0,0.24,0.0,0.0,434.5217999999993,16.512794003999993
29,477.0,4.55,4.89,20.0,-0.06,0.0,0.0,547.1755999999997,16.184488643999995
30,477.0,4.89,5.12,20.0,0.87,0.0,0.0,370.1482000000007,19.404777984
31,477.0,5.12,5.38,20.0,-0.27,0.0,0.0,418.4283999999996,18.275021304
32,477.0,5.38,5.88,20.0,0.14,0.0,0.0,804.67,19.401559304
33,477.0,5.88,6.26,20.0,0.14,0.0,0.0,611.5491999999998,20.257728184
34,477.0,6.26,6.63,20.0,0.6,0.0,0.0,595.4558000000002,23.830462984
35,477.0,6.63,7.39,20.0,0.22,0.0,0.0,1223.0983999999996,26.521279464
36,477.0,7.39,7.58,20.0,0.3,0.0,0.0,305.7746000000006,27.438603264
37,477.0,7.58,7.87,20.0,0.63,0.0,0.0,466.7086000000001,30.378867444
38,477.0,7.87,8.34,20.0,0.65,0.0,0.0,756.3897999999996,35.295401144
39,477.0,8.34,9.0,20.0,0.3,0.0,0.0,1062.1644,38.481894344
40,477.0,9.0,9.19,20.0,0.53,0.0,0.0,305.7745999999992,40.10249972399999
41,477.0,9.19,9.42,20.0,-0.16,0.0,0.0,370.1482000000007,39.51026260399999
42,477.0,9.42,9.53,20.0,0.0,0.0,0.0,177.02739999999906,39.51026260399999
43,477.0,9.53,9.89,20.0,0.94,0.0,0.0,579.3624000000019,44.956269164000005
44,477.0,9.89,10.02,20.0,-0.14,0.0,0.0,209.2141999999984,44.663369284000005
45,477.0,10.02,10.53,20.0,0.69,0.0,0.0,820.7633999999996,50.326636744000005
46,477.0,10.53,10.95,20.0,0.04,0.0,0.0,675.9227999999998,50.597005864
47,477.0,10.95,11.18,20.0,0.0,0.0,0.0,370.1482000000007,50.597005864
48,477.0,11.18,11.42,20.0,0.37,0.0,0.0,386.2416000000004,52.026099784
49,477.0,11.42,11.8,20.0,0.03,0.0,0.0,611.5492000000012,52.209564544
50,477.0,11.8,12.01,20.0,0.47,0.0,0.0,337.9613999999985,53.797983124
51,477.0,12.01,12.43,20.0,1.0,0.0,0.0,675.9227999999998,60.557211124
52,477.0,12.43,12.83,20.0,-0.14,0.0,0.0,643.7360000000006,59.655980724
53,477.0,12.83,13.24,20.0,0.14,0.0,0.0,659.8294000000002,60.57974188399999
54,477.0,13.24,13.36,20.0,0.04,0.0,0.0,193.12079999999872,60.656990204
55,477.0,13.36,13.53,20.0,0.08,0.0,0.0,273.58779999999985,60.875860444
56,477.0,13.53,13.88,20.0,0.19,0.0,0.0,563.2690000000023,61.946071544
57,477.0,13.88,14.18,20.0,0.97,0.0,0.0,482.8019999999983,66.62925094399998
58,477.0,14.18,14.32,20.0,1.15,0.0,0.0,225.3076000000009,69.22028834399998
59,477.0,14.32,14.56,20.0,0.98,0.0,0.0,386.2416000000004,73.00545602399998
60,477.0,14.56,14.94,20.0,1.08,0.0,0.0,611.5491999999983,79.61018738399997
61,477.0,14.94,15.11,20.0,1.1,0.0,0.0,273.58779999999985,82.61965318399997
62,477.0,15.11,15.28,20.0,1.16,0.0,0.0,273.58779999999985,85.79327166399997
63,477.0,15.28,15.46,20.0,0.55,0.0,0.0,289.6812000000024,87.38651826399999
64,477.0,15.46,16.06,20.0,0.99,0.0,0.0,965.6039999999964,96.94599786399996
65,477.0,16.06,16.18,20.0,0.9,0.0,0.0,193.1208000000016,98.68408506399996
66,477.0,16.18,16.35,20.0,1.21,0.0,0.0,273.58780000000274,101.994497444
67,477.0,16.35,16.56,20.0,0.71,0.0,0.0,337.96139999999565,104.39402338399996
68,477.0,16.56,16.96,20.0,0.2,0.0,0.0,643.7360000000034,105.68149538399996
69,477.0,16.96,17.14,20.0,0.4,0.0,0.0,289.68119999999954,106.84022018399996
70,477.0,17.14,17.41,20.0,-0.84,0.0,0.0,434.5217999999993,103.190237064
71,477.0,17.41,17.6,20.0,0.73,0.0,0.0,305.77460000000207,105.422391644
72,477.0,17.6,17.79,20.0,0.74,0.0,0.0,305.7745999999963,107.68512368399998
73,477.0,17.79,17.88,20.0,1.69,0.0,0.0,144.84059999999977,110.13292982399996
74,477.0,17.88,18.26,20.0,0.73,0.0,0.0,611.5492000000041,114.597238984
75,477.0,18.26,18.39,20.0,0.44,0.0,0.0,209.2141999999984,115.517781464
76,477.0,18.39,18.73,20.0,0.99,0.0,0.0,547.1755999999997,120.934819904
77,477.0,18.73,19.06,20.0,0.86,0.0,0.0,531.0821999999972,125.50212682399996
78,477.0,19.06,19.23,20.0,1.01,0.0,0.0,273.58780000000274,128.265363604
79,477.0,19.23,19.34,20.0,0.92,0.0,0.0,177.02739999999906,129.89401568399998
80,477.0,19.34,19.49,20.0,0.99,0.0,0.0,241.4009999999977,132.28388558399996
81,477.0,19.49,19.58,20.0,0.95,0.0,0.0,144.84059999999977,133.65987128399996
82,477.0,19.58,19.74,20.0,0.94,0.0,0.0,257.4944000000002,136.08031864399996
83,477.0,19.74,20.01,20.0,0.97,0.0,0.0,434.521800000005,140.295180104
84,477.0,20.01,20.08,20.0,0.0,0.0,0.0,112.65379999999472,140.295180104
85,477.0,20.08,20.37,20.0,-0.59,0.0,0.0,466.7086000000043,137.54159936399998
86,477.0,20.37,20.63,20.0,-0.26,0.0,0.0,418.4283999999968,136.45368552399998
87,477.0,20.63,20.73,20.0,0.73,0.0,0.0,160.93400000000227,137.62850372399998
88,477.0,20.73,21.36,20.0,0.97,0.0,0.0,1013.8841999999984,147.46318046399998
89,477.0,21.36,21.45,20.0,0.95,0.0,0.0,144.84059999999977,148.83916616399998
90,477.0,21.45,21.62,20.0,0.88,0.0,0.0,273.58780000000274,151.246738804
91,477.0,21.62,21.74,20.0,0.89,0.0,0.0,193.12079999999588,152.96551392399996
92,477.0,21.74,22.12,20.0,1.0,0.0,0.0,611.5492000000041,159.081005924
93,477.0,22.12,22.24,20.0,0.85,0.0,0.0,193.12079999999588,160.72253272399996
94,477.0,22.24,22.53,20.0,1.38,0.0,0.0,466.7086000000043,167.16311140400003
95,477.0,22.53,22.64,20.0,0.88,0.0,0.0,177.02739999999906,168.720952524
96,477.0,22.64,22.77,20.0,0.97,0.0,0.0,209.2141999999984,170.75033026399998
97,477.0,22.77,22.84,20.0,0.97,0.0,0.0,112.65380000000046,171.843072124
98,477.0,22.84,23.24,20.0,0.95,0.0,0.0,643.7359999999977,177.958564124
99,477.0,23.24,23.73,20.0,1.0,0.0,0.0,788.5766000000032,185.844330124
100,477.0,23.73,24.08,20.0,0.87,0.0,0.0,563.2689999999966,190.744770424
101,477.0,24.08,24.25,20.0,1.0,0.0,0.0,273.58780000000274,193.480648424
102,477.0,24.25,24.32,20.0,0.42,0.0,0.0,112.65380000000046,193.953794384
103,477.0,24.32,24.7,20.0,0.85,0.0,0.0,611.5491999999983,199.151962584
104,477.0,24.7,24.82,20.0,0.61,0.0,0.0,193.1208000000016,200.329999464
105,477.0,24.82,25.01,20.0,-0.83,0.0,0.0,305.77460000000207,197.792070284
106,477.0,25.01,25.14,20.0,0.0,0.0,0.0,209.2141999999984,197.792070284
107,477.0,25.14,25.17,20.0,1.19,0.0,0.0,48.28020000000183,198.366604664
108,477.0,25.17,25.55,20.0,0.94,0.0,0.0,611.5491999999983,204.115167144
109,477.0,25.55,25.74,20.0,0.2,0.0,0.0,305.7745999999963,204.72671634399995
110,477.0,25.74,25.95,20.0,0.94,0.0,0.0,337.96140000000133,207.903553504
111,477.0,25.95,26.06,20.0,0.93,0.0,0.0,177.02739999999906,209.549908324
112,477.0,26.06,26.5,20.0,1.0,0.0,0.0,708.109600000002,216.631004324
113,477.0,26.5,26.75,20.0,0.46,0.0,0.0,402.335,218.481745324
114,477.0,26.75,26.82,20.0,1.4,0.0,0.0,112.65380000000046,220.058898524
115,477.0,26.82,27.01,20.0,1.27,0.0,0.0,305.77460000000207,223.94223594400003
116,477.0,27.01,27.31,20.0,1.4,0.0,0.0,482.8019999999954,230.70146394399995
117,477.0,27.31,27.64,20.0,1.24,0.0,0.0,531.0822000000029,237.286883224
