,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
0,7500.0,168.76,168.61,55.0,-0.0,R,1.06666,241.4009999999634,142.60752809619976
1,7500.0,168.61,168.48,55.0,0.54,R,1.06666,209.2142000000384,142.60752809619976
2,7500.0,168.48,167.98,55.0,0.48,0.0,0.0,804.67,143.73728477619997
3,7500.0,167.98,167.797,55.0,-0.0,0.0,0.0,294.50921999998826,147.59970077619997
4,7500.0,167.83,167.49,55.0,0.75,0.0,0.0,547.1756000000055,147.59970077619997
5,7500.0,167.49,167.15,55.0,-1.25,0.0,0.0,547.1756000000055,151.70351777620002
6,7500.0,167.15,166.98,55.0,-0.27,0.0,0.0,273.5878000000256,144.86382277619995
7,7500.0,166.98,166.69,55.0,-0.66,0.0,0.0,466.7085999999872,144.12513571619988
8,7500.0,166.69,166.55,55.0,-0.0,0.0,0.0,225.30759999997804,141.04485895619996
9,7500.0,166.55,166.42,55.0,0.32,0.0,0.0,209.2142000000384,141.04485895619996
10,7500.0,166.42,166.26,55.0,-0.74,0.0,0.0,257.49439999999447,141.7143443962001
11,7500.0,166.26,166.227,55.0,-0.07,0.0,0.0,53.10821999997914,139.80888583620012
12,7500.0,166.227,166.0,55.0,-0.07,R,1.01138,365.3201800000062,139.77171008220014
13,7500.0,166.0,165.73,55.0,-0.55,0.0,0.0,434.52180000001647,139.51598595620013
14,7500.0,165.73,165.633,55.0,0.17,0.0,0.0,156.1059799999678,137.12611605620003
15,7500.0,165.633,165.49,55.0,0.17,L,1.05833,230.1356200000011,137.39149622219998
16,7500.0,165.49,165.39,55.0,0.14,0.0,0.0,160.93400000003658,137.78272677619998
17,7500.0,165.39,165.18,55.0,-1.03,0.0,0.0,337.96139999996706,138.00803437620004
18,7500.0,165.18,164.9,55.0,-1.13,0.0,0.0,450.6152000000018,134.52703195620035
19,7500.0,164.9,164.71,55.0,0.1,0.0,0.0,305.7745999999963,129.43508019620035
20,7500.0,164.71,164.702,55.0,-0.74,0.0,0.0,12.874720000015731,129.74085479620035
21,7500.0,164.702,164.39,55.0,-0.74,R,1.02166,502.114080000019,129.64558186820022
22,7500.0,164.39,164.132,55.0,-0.09,0.0,0.0,415.20971999997,125.9299376762001
23,7500.0,164.132,164.12,55.0,-0.09,L,1.53888,19.31208000000073,125.55624892820012
24,7500.0,164.12,163.88,55.0,-1.08,L,1.53888,386.2416000000146,125.53886805620012
25,7500.0,163.88,162.91,55.0,-1.0,0.0,0.0,1561.0597999999982,121.36745877619995
26,7500.0,162.91,161.87,55.0,0.74,0.0,0.0,1673.713599999987,105.75686077619996
27,7500.0,161.87,161.65,55.0,-0.0,0.0,0.0,354.0547999999981,118.14234141619988
28,7500.0,161.65,161.251,55.0,-0.59,0.0,0.0,642.1266600000014,118.14234141619988
29,7500.0,161.4,160.83,55.0,0.36,0.0,0.0,917.323799999989,114.35379412219989
30,7500.0,160.83,160.7,55.0,-0.87,0.0,0.0,209.2142000000384,117.65615980219984
31,7500.0,160.7,160.48,55.0,-0.08,0.0,0.0,354.0547999999981,115.8359962621995
32,7500.0,160.48,160.19,55.0,-0.47,0.0,0.0,466.7085999999872,115.5527524221995
33,7500.0,160.19,159.97,55.0,0.4,0.0,0.0,354.0547999999981,113.35922200219956
34,7500.0,159.97,159.7,55.0,0.16,0.0,0.0,434.52180000001647,114.77544120219954
35,7500.0,159.7,159.601,55.0,-1.24,0.0,0.0,159.32465999998317,115.47067608219956
36,7500.0,159.601,159.48,55.0,-1.24,L,1.4911,194.73014000001496,113.4950502981998
37,7500.0,159.48,158.97,55.0,0.08,0.0,0.0,820.7633999999853,111.0803965621996
