,LINE_SEGMENT,BEG MP,END MP,SPEED,GRADE_TO_NEXT,DIRECTION,DEG OF CURVE,LENGTH (M),ELEV (M)
678,7508.0,455.21,455.53,55.0,0.0,0.0,0.0,514.9887999999889,414.9057156740001
679,7508.0,455.53,455.69,55.0,0.6,0.0,0.0,257.49440000004023,416.4506820740003
680,7508.0,455.69,456.2,55.0,0.47,L,2.48333,820.7633999999853,420.3082700540003
681,7508.0,456.2,456.239,55.0,0.6,L,2.48333,62.76425999997951,420.6848556140001
682,7508.0,456.239,456.38,55.0,0.6,0.0,0.0,226.91694000003145,422.0463572540003
683,7508.0,456.38,457.006,55.0,0.47,R,2.73333,1007.446839999962,426.78135740200014
684,7508.0,457.006,457.03,55.0,0.47,0.0,0.0,38.62416000000146,426.96289095400016
685,7508.0,457.03,457.18,55.0,0.59,0.0,0.0,241.4010000000549,428.38715685400047
686,7508.0,457.18,457.41,55.0,-0.6,0.0,0.0,370.1482000000293,426.1662676540003
687,7508.0,457.41,457.691,55.0,-0.54,L,1.0,452.224539999918,423.72425513800073
688,7508.0,457.691,457.79,55.0,-0.54,0.0,0.0,159.32466000007463,422.8639019740003
689,7508.0,457.79,458.22,55.0,0.33,0.0,0.0,692.0162000000109,425.1475554340004
690,7508.0,458.22,458.239,55.0,0.45,R,3.3,30.5774599999173,425.285154004
691,7508.0,458.239,458.57,55.0,0.45,0.0,0.0,532.6915400000278,427.6822659340001
692,7508.0,458.57,458.75,55.0,0.24,0.0,0.0,289.68120000001096,428.37750081400014
